"Energy","CPS","Spectrum"
"162",3.2298049,2.09728765349929,"blackdiamond"
"163",3.2498658,2.09728765349929,"blackdiamond"
"164",3.2699267,2.10101285359432,"blackdiamond"
"165",3.2899876,2.03395925188386,"blackdiamond"
"166",3.3100485,1.97435605036345,"blackdiamond"
"167",3.3301094,1.90357724855797,"blackdiamond"
"168",3.3501703,1.94455444960325,"blackdiamond"
"169",3.3702312,1.88122604798782,"blackdiamond"
"170",3.3902921,1.8924016482729,"blackdiamond"
"171",3.410353,1.78064564542213,"blackdiamond"
"172",3.4304139,1.79182124570721,"blackdiamond"
"173",3.4504748,1.69124084314152,"blackdiamond"
"174",3.4705357,1.78809604561218,"blackdiamond"
"175",3.4905966,1.79182124570721,"blackdiamond"
"176",3.5106575,1.72476764399675,"blackdiamond"
"177",3.5307184,1.74339364447188,"blackdiamond"
"178",3.5507793,1.56085883981564,"blackdiamond"
"179",3.5708402,1.61301164114599,"blackdiamond"
"180",3.5909011,1.52360683886538,"blackdiamond"
"181",3.610962,1.64281324190619,"blackdiamond"
"182",3.6310229,1.59066044057584,"blackdiamond"
"183",3.6510838,1.60556124095594,"blackdiamond"
"184",3.6711447,1.54223283934051,"blackdiamond"
"185",3.6912056,1.51988163877036,"blackdiamond"
"186",3.7112665,1.6875156430465,"blackdiamond"
"187",3.7313274,1.4975304382002,"blackdiamond"
"188",3.7513883,1.36342323477929,"blackdiamond"
"189",3.7714492,1.4230264362997,"blackdiamond"
"190",3.7915101,1.39695003563452,"blackdiamond"
"191",3.811571,1.29264443297381,"blackdiamond"
"192",3.8316319,1.28146883268873,"blackdiamond"
"193",3.8516928,1.30382003325888,"blackdiamond"
"194",3.8717537,1.34479723430416,"blackdiamond"
"195",3.8918146,1.34852243439919,"blackdiamond"
"196",3.9118755,1.25539243202355,"blackdiamond"
"197",3.9319364,1.25166723192853,"blackdiamond"
"198",3.9519973,1.25166723192853,"blackdiamond"
"199",3.9720582,1.24049163164345,"blackdiamond"
"200",3.9921191,1.31127043344894,"blackdiamond"
"201",4.01218,1.13991122907777,"blackdiamond"
"202",4.0322409,1.20696483078822,"blackdiamond"
"203",4.0523018,1.1883388303131,"blackdiamond"
"204",4.0723627,1.11383482841259,"blackdiamond"
"205",4.0924236,1.19578923050315,"blackdiamond"
"206",4.1124845,1.15853722955289,"blackdiamond"
"207",4.1325454,1.01697962594193,"blackdiamond"
"208",4.1526063,1.15481202945787,"blackdiamond"
"209",4.1726672,1.15108682936284,"blackdiamond"
"210",4.1927281,1.12501042869767,"blackdiamond"
